,AlphaRatio,QueueRatio,BlockedLane
722,0.0,0.0,Short
723,0.0,0.0,Short
724,0.0,0.0,Short
725,0.0,0.0,Short
726,0.0,0.0,Short
727,0.0,0.0,Short
728,0.0,0.0,Short
729,0.0,0.0,Short
730,0.0,0.0,Short
731,0.0,0.0,Short
732,0.0,0.0,Short
733,0.0,0.0,Short
734,0.0,0.0,Short
735,0.0,0.0,Short
736,0.0,0.0,Short
737,0.0,0.0,Short
738,0.0,0.0,Short
739,0.0,0.0,Short
740,0.0,0.0,Short
741,0.0,0.0,Short
742,0.0,0.0,Short
743,0.0,0.0,Short
744,0.0,0.0,Short
745,0.0,0.0,Short
746,0.0,0.0,Short
747,0.0,0.0,Short
748,0.0,0.0,Short
749,0.0,0.0,Short
750,0.0,0.0,Short
751,0.0,0.0,Short
752,0.0,0.0,Short
753,0.0,0.0,Short
754,0.0,0.0,Short
755,0.0,0.0,Short
756,0.0,0.0,Short
757,0.0,0.0,Short
758,0.0,0.0,Short
759,0.0,0.0,Short
760,0.0,0.0,Short
761,0.0,0.0,Short
762,0.0,0.0,Short
763,0.0,0.0,Short
764,0.0,0.0,Short
765,0.0,0.0,Short
766,0.0,0.0,Short
767,0.0,0.0,Short
768,0.0,0.0,Short
769,0.0,0.0,Short
770,0.0,0.0,Short
771,0.0,0.0,Short
772,0.0,0.0,Short
773,0.0,0.0,Short
774,0.0,0.0,Short
775,0.0,0.0,Short
776,0.0,0.0,Short
777,0.0,0.0,Short
778,0.0,0.0,Short
779,0.0,0.0,Short
780,0.0,0.0,Short
781,0.0,0.0,Short
782,0.0,0.0,Short
783,0.0,0.0,Short
784,0.0,0.0,Short
785,0.0,0.0,Short
786,0.0,0.0,Short
787,0.0,0.0,Short
788,0.0,0.0,Short
789,0.0,0.0,Short
790,0.0,0.0,Short
791,0.0,0.0,Short
792,0.0,0.0,Short
793,0.0,0.0,Short
794,0.0,0.0,Short
795,0.0,0.0,Short
796,0.0,0.0,Short
797,0.0,0.0,Short
798,0.0,0.0,Short
799,0.0,0.0,Short
800,0.0,0.0,Short
801,0.0,0.0,Short
802,0.0,0.0,Short
803,0.0,0.0,Short
804,0.0,0.0,Short
805,0.0,0.0,Short
806,0.0,0.0,Short
807,0.0,0.0,Short
808,0.0,0.0,Short
809,0.0,0.0,Short
810,0.0,0.0,Short
811,0.0,0.0,Short
812,0.0,0.0,Short
813,0.0,0.0,Short
814,0.0,0.0,Short
815,0.0,0.0,Short
816,0.0,0.0,Short
817,0.0,0.0,Short
818,0.0,0.0,Short
819,0.0,0.0,Short
820,0.0,0.0,Short
821,0.0,0.0,Short
822,0.0,0.0,Short
823,0.0,0.0,Short
824,0.0,0.0,Short
825,0.0,0.0,Short
826,0.0,0.0,Short
827,0.0,0.0,Short
828,0.0,0.0,Short
829,0.0,0.0,Short
830,0.0,0.0,Short
831,0.0,0.0,Short
832,0.0,0.0,Short
833,0.0,0.0,Short
834,0.0,0.0,Short
835,0.0,0.0,Short
836,0.0,0.0,Short
837,0.0,0.0,Short
838,0.0,0.0,Short
839,0.0,0.0,Short
840,0.0,0.0,Short
841,0.0,0.0,Short
842,0.0,0.0,Short
843,0.0,0.0,Short
844,0.0,0.0,Short
845,0.0,0.0,Short
846,0.0,0.0,Short
847,0.0,0.0,Short
848,0.0,0.0,Short
849,0.0,0.0,Short
850,0.0,0.0,Short
851,0.0,0.0,Short
852,0.0,0.0,Short
853,0.0,0.0,Short
854,0.0,0.0,Short
855,0.0,0.0,Short
856,0.0,0.0,Short
857,0.0,0.0,Short
858,0.0,0.0,Short
859,0.0,0.0,Short
860,0.0,0.0,Short
861,0.0,0.0,Short
862,0.0,0.0,Short
863,0.0,0.0,Short
864,0.0,0.0,Short
865,0.0,0.0,Short
866,0.0,0.0,Short
867,0.0,0.0,Short
868,0.0,0.0,Short
869,0.0,0.0,Short
870,0.0,0.0,Short
871,0.0,0.0,Short
872,0.0,0.0,Short
873,0.0,0.0,Short
874,0.0,0.0,Short
875,0.0,0.0,Short
876,0.0,0.0,Short
877,0.0,0.0,Short
878,0.0,0.0,Short
879,0.0,0.0,Short
880,0.0,0.0,Short
881,0.0,0.0,Short
882,0.0,0.0,Short
883,0.0,0.0,Short
884,0.0,0.0,Short
885,0.0,0.0,Short
886,0.0,0.0,Short
887,0.0,0.0,Short
888,0.0,0.0,Short
889,0.0,0.0,Short
890,0.0,0.0,Short
891,0.0,0.0,Short
892,0.0,0.0,Short
893,0.0,0.0,Short
894,0.0,0.0,Short
895,0.0,0.0,Short
896,0.0,0.0,Short
897,0.0,0.0,Short
898,0.0,0.0,Short
899,0.0,0.0,Short
900,0.0,0.0,Short
901,0.0,0.0,Short
902,0.0,0.0,Short
903,0.0,0.0,Short
904,0.0,0.0,Short
905,0.0,0.0,Short
906,0.0,0.0,Short
907,0.0,0.0,Short
908,0.0,0.0,Short
909,0.0,0.0,Short
910,0.0,0.0,Short
911,0.0,0.0,Short
912,0.0,0.0,Short
913,0.0,0.0,Short
914,0.0,0.0,Short
915,0.0,0.0,Short
916,0.0,0.0,Short
917,0.0,0.0,Short
918,0.0,0.0,Short
919,0.0,0.0,Short
920,0.0,0.0,Short
921,0.0,0.0,Short
922,0.0,0.0,Short
923,0.0,0.0,Short
924,0.0,0.0,Short
925,0.0,0.0,Short
926,0.0,0.0,Short
927,0.0,0.0,Short
928,0.0,0.0,Short
929,0.0,0.0,Short
930,0.0,0.0,Short
931,0.0,0.0,Short
932,0.0,0.0,Short
933,0.0,0.0,Short
934,0.0,0.0,Short
935,0.0,0.0,Short
936,0.0,0.0,Short
937,0.0,0.0,Short
938,0.0,0.0,Short
939,0.0,0.0,Short
940,0.0,0.0,Short
941,0.0,0.0,Short
942,0.0,0.0,Short
943,0.0,0.0,Short
944,0.0,0.0,Short
945,0.0,0.0,Short
946,0.0,0.0,Short
947,0.0,0.0,Short
948,0.0,0.0,Short
949,0.0,0.0,Short
950,0.0,0.0,Short
951,0.0,0.0,Short
952,0.0,0.0,Short
953,0.0,0.0,Short
954,0.0,0.0,Short
955,0.0,0.0,Short
956,0.0,0.0,Short
957,0.0,0.0,Short
958,0.0,0.0,Short
959,0.0,0.0,Short
960,0.0,0.0,Short
961,0.0,0.0,Short
962,0.0,0.0,Short
963,0.0,0.0,Short
964,0.0,0.0,Short
965,0.0,0.0,Short
966,0.0,0.0,Short
967,0.0,0.0,Short
968,0.0,0.0,Short
969,0.0,0.0,Short
970,0.0,0.0,Short
971,0.0,0.0,Short
972,0.0,0.0,Short
973,0.0,0.0,Short
974,0.0,0.0,Short
975,0.0,0.0,Short
976,0.0,0.0,Short
977,0.0,0.0,Short
978,0.0,0.0,Short
979,0.0,0.0,Short
980,0.0,0.0,Short
981,0.0,0.0,Short
982,0.0,0.0,Short
983,0.0,0.0,Short
984,0.0,0.0,Short
985,0.0,0.0,Short
986,0.0,0.0,Short
987,0.0,0.0,Short
988,0.0,0.0,Short
989,0.0,0.0,Short
990,0.0,0.0,Short
991,0.0,0.0,Short
992,0.0,0.0,Short
993,0.0,0.0,Short
994,0.0,0.0,Short
995,0.0,0.0,Short
996,0.0,0.0,Short
997,0.02,0.0,Short
998,0.02,0.0,Short
999,0.02,0.0,Short
1000,0.02,0.0,Short
1001,0.02,0.0,Short
1002,0.02,0.14285714285714285,Short
1003,0.02,0.0,Short
1004,0.02,0.0,Short
1005,0.02,0.0,Short
1006,0.02,0.0,Short
1007,0.02,0.0,Short
1008,0.02,0.14285714285714285,Short
1009,0.02,0.14285714285714285,Short
1010,0.02,0.0,Short
1011,0.02,0.0,Short
1012,0.02,0.0,Short
1013,0.02,0.14285714285714285,Short
1014,0.02,0.0,Short
1015,0.02,0.0,Short
1016,0.02,0.14285714285714285,Short
1017,0.02,0.0,Short
1018,0.02,0.0,Short
1019,0.02,0.0,Short
1020,0.02,0.0,Short
1021,0.02,0.0,Short
1022,0.02,0.0,Short
1023,0.02,0.0,Short
1024,0.02,0.14285714285714285,Short
1025,0.02,0.14285714285714285,Short
1026,0.02,0.0,Short
1027,0.02,0.14285714285714285,Short
1028,0.02,0.0,Short
1029,0.02,0.14285714285714285,Short
1030,0.02,0.0,Short
1031,0.02,0.0,Short
1032,0.02,0.0,Short
1033,0.02,0.0,Short
1034,0.02,0.0,Short
1035,0.02,0.0,Short
1036,0.02,0.0,Short
1037,0.02,0.0,Short
1038,0.02,0.0,Short
1039,0.02,0.0,Short
1040,0.02,0.0,Short
1041,0.02,0.0,Short
